service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
70_D24,December 24,0,0,0,0,0,0,0,20151206,20160305
70_D31,December 31,0,0,0,0,0,0,0,20151206,20160305
70_HOL,Holiday,0,0,0,0,0,0,0,20151206,20160305
70_MWK,Modified,0,0,0,0,0,0,0,20151206,20160305
70_MWK:R,Recess Modified,0,0,0,0,0,0,0,20151206,20160305
70_SAT,Saturday,0,0,0,0,0,1,0,20151206,20160305
70_SAT:L,Latenight Saturday,0,0,0,0,0,1,0,20151206,20160305
70_SAT:R,Recess Saturday,0,0,0,0,0,0,0,20151206,20160305
70_SAT:S,Standard Saturday,0,0,0,0,0,1,0,20151206,20160305
70_SUN,Sunday,0,0,0,0,0,0,1,20151206,20160305
70_SUN:L,Latenight Sunday,0,0,0,0,0,0,1,20151206,20160305
70_SUN:R,Recess Sunday,0,0,0,0,0,0,0,20151206,20160305
70_SUN:S,Standard Sunday,0,0,0,0,0,0,1,20151206,20160305
70_WKD,Weekday,1,1,1,1,1,0,0,20151206,20160305
70_WKD:G,Weekday Extra,1,1,1,1,1,0,0,20151206,20160305
70_WKD:L#6,Latenight Mon-Thu,1,1,1,1,0,0,0,20151206,20160305
70_WKD:L=6,Latenight Fri only,0,0,0,0,1,0,0,20151206,20160305
70_WKD:R,Recess Weekday,0,0,0,0,0,0,0,20151206,20160305
70_WKD:S,Standard Weekday,1,1,1,1,1,0,0,20151206,20160305
70_WKD:S#6,Standard Mon-Thu,1,1,1,1,0,0,0,20151206,20160305
70_WKD:S=6,Standard Fri only,0,0,0,0,1,0,0,20151206,20160305
72_D24,December 24,0,0,0,0,0,0,0,20160306,20160514
72_D31,December 31,0,0,0,0,0,0,0,20160306,20160514
72_HOL,Holiday,0,0,0,0,0,0,0,20160306,20160514
72_MWK,Modified,0,0,0,0,0,0,0,20160306,20160514
72_MWK:R,Recess Modified,0,0,0,0,0,0,0,20160306,20160514
72_SAT,Saturday,0,0,0,0,0,1,0,20160306,20160514
72_SAT:L,Latenight Saturday,0,0,0,0,0,1,0,20160306,20160514
72_SAT:R,Recess Saturday,0,0,0,0,0,0,0,20160306,20160514
72_SAT:S,Standard Saturday,0,0,0,0,0,1,0,20160306,20160514
72_SUN,Sunday,0,0,0,0,0,0,1,20160306,20160514
72_SUN:L,Latenight Sunday,0,0,0,0,0,0,1,20160306,20160514
72_SUN:R,Recess Sunday,0,0,0,0,0,0,0,20160306,20160514
72_SUN:S,Standard Sunday,0,0,0,0,0,0,1,20160306,20160514
72_WKD,Weekday,1,1,1,1,1,0,0,20160306,20160514
72_WKD:G,Weekday Extra,1,1,1,1,1,0,0,20160306,20160514
72_WKD:L#6,Latenight Mon-Thu,1,1,1,1,0,0,0,20160306,20160514
72_WKD:L=6,Latenight Fri only,0,0,0,0,1,0,0,20160306,20160514
72_WKD:R,Recess Weekday,0,0,0,0,0,0,0,20160306,20160514
72_WKD:S,Standard Weekday,1,1,1,1,1,0,0,20160306,20160514
72_WKD:S#6,Standard Mon-Thu,1,1,1,1,0,0,0,20160306,20160514
72_WKD:S=6,Standard Fri only,0,0,0,0,1,0,0,20160306,20160514
