date,exception_type,service_id
20151223,2,70_WKD:L#6
20151224,2,70_WKD
20151224,2,70_WKD:G
20151224,2,70_WKD:L#6
20151224,2,70_WKD:S
20151224,2,70_WKD:S#6
20151224,1,70_D24
20151225,2,70_WKD
20151225,2,70_WKD:G
20151225,2,70_WKD:L=6
20151225,2,70_WKD:S
20151225,2,70_WKD:S=6
20151225,1,70_HOL
20151226,2,70_SAT:L
20151226,2,70_SAT:S
20151226,1,70_SAT:R
20151227,2,70_SUN:L
20151227,2,70_SUN:S
20151227,1,70_SUN:R
20151228,2,70_WKD:G
20151228,2,70_WKD:L#6
20151228,2,70_WKD:S
20151228,2,70_WKD:S#6
20151228,1,70_WKD:R
20151229,2,70_WKD:G
20151229,2,70_WKD:L#6
20151229,2,70_WKD:S
20151229,2,70_WKD:S#6
20151229,1,70_WKD:R
20151230,2,70_WKD:G
20151230,2,70_WKD:L#6
20151230,2,70_WKD:S
20151230,2,70_WKD:S#6
20151230,1,70_WKD:R
20151231,2,70_WKD
20151231,2,70_WKD:G
20151231,2,70_WKD:L#6
20151231,2,70_WKD:S
20151231,2,70_WKD:S#6
20151231,1,70_D31
20160101,2,70_WKD
20160101,2,70_WKD:G
20160101,2,70_WKD:L=6
20160101,2,70_WKD:S
20160101,2,70_WKD:S=6
20160101,1,70_HOL
20160102,2,70_SAT:L
20160102,2,70_SAT:S
20160102,1,70_SAT:R
20160103,2,70_SUN:L
20160103,2,70_SUN:S
20160103,1,70_SUN:R
20160104,2,70_WKD:G
20160104,2,70_WKD:L#6
20160104,2,70_WKD:S
20160104,2,70_WKD:S#6
20160104,1,70_WKD:R
20160105,2,70_WKD:G
20160105,2,70_WKD:L#6
20160105,2,70_WKD:S
20160105,2,70_WKD:S#6
20160105,1,70_WKD:R
20160106,2,70_WKD:G
20160106,2,70_WKD:L#6
20160106,2,70_WKD:S
20160106,2,70_WKD:S#6
20160106,1,70_WKD:R
20160107,2,70_WKD:G
20160107,2,70_WKD:L#6
20160107,2,70_WKD:S
20160107,2,70_WKD:S#6
20160107,1,70_WKD:R
20160108,2,70_WKD:G
20160108,2,70_WKD:L=6
20160108,2,70_WKD:S
20160108,2,70_WKD:S=6
20160108,1,70_WKD:R
20160109,2,70_SAT:L
20160109,2,70_SAT:S
20160109,1,70_SAT:R
20160110,2,70_SUN:L
20160110,2,70_SUN:S
20160110,1,70_SUN:R
20160111,2,70_WKD:G
20160111,2,70_WKD:L#6
20160111,2,70_WKD:S
20160111,2,70_WKD:S#6
20160111,1,70_WKD:R
20160112,2,70_WKD:G
20160112,2,70_WKD:L#6
20160112,2,70_WKD:S
20160112,2,70_WKD:S#6
20160112,1,70_WKD:R
20160113,2,70_WKD:G
20160113,2,70_WKD:L#6
20160113,2,70_WKD:S
20160113,2,70_WKD:S#6
20160113,1,70_WKD:R
20160114,2,70_WKD:G
20160114,2,70_WKD:L#6
20160114,2,70_WKD:S
20160114,2,70_WKD:S#6
20160114,1,70_WKD:R
20160115,2,70_WKD:G
20160115,2,70_WKD:L=6
20160115,2,70_WKD:S
20160115,2,70_WKD:S=6
20160115,1,70_WKD:R
20160116,2,70_SAT:L
20160116,2,70_SAT:S
20160116,1,70_SAT:R
20160117,2,70_SUN:L
20160117,2,70_SUN:S
20160117,1,70_SUN:R
20160118,2,70_WKD
20160118,2,70_WKD:G
20160118,2,70_WKD:L#6
20160118,2,70_WKD:S
20160118,2,70_WKD:S#6
20160118,1,70_MWK
20160118,1,70_MWK:R
20160318,2,72_WKD:L=6
20160319,2,72_SAT:L
20160319,2,72_SAT:S
20160319,1,72_SAT:R
20160320,2,72_SUN:L
20160320,2,72_SUN:S
20160320,1,72_SUN:R
20160321,2,72_WKD:G
20160321,2,72_WKD:L#6
20160321,2,72_WKD:S
20160321,2,72_WKD:S#6
20160321,1,72_WKD:R
20160322,2,72_WKD:G
20160322,2,72_WKD:L#6
20160322,2,72_WKD:S
20160322,2,72_WKD:S#6
20160322,1,72_WKD:R
20160323,2,72_WKD:G
20160323,2,72_WKD:L#6
20160323,2,72_WKD:S
20160323,2,72_WKD:S#6
20160323,1,72_WKD:R
20160324,2,72_WKD:G
20160324,2,72_WKD:L#6
20160324,2,72_WKD:S
20160324,2,72_WKD:S#6
20160324,1,72_WKD:R
20160325,2,72_WKD:G
20160325,2,72_WKD:L=6
20160325,2,72_WKD:S
20160325,2,72_WKD:S=6
20160325,1,72_WKD:R
20160326,2,72_SAT:L
20160326,2,72_SAT:S
20160326,1,72_SAT:R
20160514,2,72_SAT:L
20160514,2,72_SAT:S
20160514,1,72_SAT:R
