route_id,fare_id
6838,c
6839,c
6840,c
6841,c
6842,c
6843,c
6844,c
6845,c
6846,c
6847,c
6848,c
6849,c
6850,c
6851,c
6852,c
6853,c
6854,c
6855,c
6856,c
6857,c
6858,c
6859,c
6860,c
6861,c
6862,c
6863,c
6864,c
6865,c
6866,c
6867,c
6868,c
6869,c
6870,c
6871,c
6872,c
6873,c
6874,c
6875,c
6876,c
6877,c
6878,c
6879,c
6880,c
6881,c
6882,c
6883,c
6884,c
6885,c
6886,c
6887,c
6888,c
6889,c
6890,c
6891,c
6892,c
6893,c
6894,c
6895,c
6896,f
6897,f
6898,f
6899,f
7036,c
7037,c
7038,c
7039,c
7040,c
7041,c
7042,c
7043,c
7044,c
7045,c
7046,c
7047,c
7048,c
7049,c
7050,c
7051,c
7052,c
7053,c
7054,c
7055,c
7056,c
7057,c
7058,c
7059,c
7060,c
7061,c
7062,c
7063,c
7064,c
7065,c
7066,c
7067,c
7068,c
7069,c
7070,c
7071,c
7072,c
7073,c
7074,c
7075,c
7076,c
7077,c
7078,c
7079,c
7080,c
7081,c
7082,c
7083,c
7084,c
7085,c
7086,c
7087,c
7088,c
7089,c
7090,c
7091,c
7092,c
7093,c
7094,f
7095,f
7096,f
7097,f
